timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2022-01-03T00:00:00+00:00,AAPL,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. EMA alignment and low volatility detected. Decisive entry with tight protection.,0.75,EMA_alignment;low_volatility,support_bounce,trend_following;mean_reversion
2022-01-04T00:00:00+00:00,AAPL,close,"Active-Guardian: Market is in Green Zone. Current price (179.700) is below entry price (182.210211), and the trend strength score is -0.14, indicating a bearish trend. Closing the position to limit losses.",0.6,bearish_trend;price_below_entry,stop_loss_trigger,trend_following;loss_limitation
2022-01-05T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone, but recent trade outcome was a loss, and the trend strength score is -0.09, indicating a bearish trend. Rejecting entry to limit losses and avoid being exploited.",0.0,,,risk_management;trend_following
2022-01-06T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone, but recent trade outcome was a loss, and the trend strength score is -0.04, indicating a bearish trend. Rejecting entry to limit losses and avoid being exploited.",0.4,,,trend_following;risk_management
2022-01-07T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone but recent trade outcome was a loss. Trend strength score is -0.60, indicating a bearish trend. Rejecting entry to limit losses and re-evaluate strategy.",0.0,,,trend_following;risk_management
2022-01-10T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone, but recent trade outcome and trend strength score (-0.49) indicate a bearish trend. RSI14 is extremely low (2.16), suggesting potential for a bounce, but the MACD crossover is bearish. Given the losing streak and market volatility, being more selective is prudent.",0.0,,,trend_following;mean_reversion
2022-01-11T00:00:00+00:00,AAPL,entry,"Active-Guardian: Market is in Green Zone. RSI14=28.98 indicates oversold conditions, and EMA20/50 alignment suggests potential for mean reversion. Entry with tight protection.",0.8,RSI_oversold;EMA_alignment,support_bounce,mean_reversion
2022-01-12T00:00:00+00:00,AAPL,hold,Active-Guardian: Market is in Green Zone. Holding the current long position as the trend strength score is still negative but the price is above the initial stop loss. ATR-based stop loss is in place.,0.8,EMA_alignment;RSI_oversold;price_above_stop,trend_following;mean_reversion,trend_following;mean_reversion
2022-01-13T00:00:00+00:00,AAPL,close,"Active-Guardian: Market is in Green Zone, but current price (172.19) is below entry price (175.272588), and the trend strength score is -0.16, indicating a bearish trend. Closing the position to limit losses.",0.8,,,trend_following;risk_management
2022-01-14T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone, but recent trades have resulted in losses, and the trend strength score is -0.09, indicating a bearish trend. Rejecting entry to limit losses and re-evaluate strategy.",0.2,,,risk_management;trend_following
2022-01-18T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone, but recent losses and bearish trend strength score (-0.14) indicate a need for caution. Rejecting entry to avoid further losses.",0.2,,,risk_management;trend_analysis
2022-01-19T00:00:00+00:00,AAPL,reject,"Active-Guardian: Market is in Green Zone, but recent losses and bearish trend strength score (-0.23) indicate caution. Rejecting entry to avoid further losses.",0.2,,,risk_management;trend_following
