timestamp,coin,signal,reasoning,confidence,confluence_tags,trigger_tags,reasoning_categories
2020-01-02T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Active mode. 1% risk enforced. EMA alignment and low volatility detected. Decisive entry with tight protection.,0.8,EMA_alignment;low_volatility,structure_breakout,trend_following;mean_reversion
2020-01-03T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA alignment and MACD neutrality support the current trend.,0.8,EMA_alignment;MACD_neutrality,trend_following,trend_following
2020-01-06T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and EMA alignment detected. Decisive entry with tight protection.,0.8,EMA_alignment;MACD_crossover,indicator_crossover,trend_following
2020-01-07T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA alignment and MACD crossover support the trend.,0.8,EMA_alignment;MACD_crossover,trend_following,trend_following
2020-01-08T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. 1% risk enforced. Bullish MACD crossover and EMA alignment detected. Decisive entry with tight protection.,0.85,EMA_alignment;MACD_crossover;RSI_bullish,indicator_crossover;trend_following,trend_following;mean_reversion
2020-01-09T00:00:00+00:00,GOLD,hold,"Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA20 and EMA50 alignment, MACD crossover, and RSI below 50 support the hold decision.",0.85,EMA_alignment;MACD_crossover;RSI_below_50,indicator_crossover;trend_following,trend_following;mean_reversion
2020-01-10T00:00:00+00:00,GOLD,hold,Active-Guardian: Market is in Green Zone. Holding long position with tight protection. EMA20/50 alignment and MACD crossover support the trend.,0.85,EMA_alignment;MACD_crossover;RSI_momentum,trend_following,trend_following
2020-01-13T00:00:00+00:00,GOLD,close,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bearish, and RSI is below 50. Trend Strength Score is low. Closing current long position to limit losses.",0.75,MACD_crossover;RSI_below_50;Low_Trend_Strength,indicator_crossover;trend_reversal,trend_following;mean_reversion
2020-01-27T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bullish, and RSI is above 50. Trend Strength Score is moderate. Entry with tight protection.",0.82,MACD_crossover;RSI_above_50;Trend_Strength,indicator_crossover;trend_following,trend_following;mean_reversion
2020-01-28T00:00:00+00:00,GOLD,close,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bearish, and RSI is below 60. Trend Strength Score is moderate. Closing current long position to limit losses.",0.82,MACD_crossover;RSI_below_60;Trend_Strength_Score_moderate,indicator_crossover;trend_reversal,trend_following;mean_reversion
2020-01-30T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bullish, and RSI is above 50. Trend Strength Score is moderate. Entry with tight protection.",0.82,MACD_crossover;RSI_above_50;Trend_Strength,indicator_crossover;trend_following,trend_following;mean_reversion
2020-01-31T00:00:00+00:00,GOLD,close,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bearish, and RSI is below 70. Trend Strength Score is moderate. Closing current long position to limit losses.",0.82,MACD_crossover;RSI_below_70;Trend_Strength_Score_moderate,indicator_crossover;trend_reversal,trend_following;mean_reversion
2020-02-04T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bullish, and RSI is below 50. Trend Strength Score is moderate. Entry with tight protection.",0.82,MACD_crossover;RSI_undersold;Trend_Strength,indicator_crossover;trend_following,trend_following;mean_reversion
2020-02-05T00:00:00+00:00,GOLD,close,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bearish, and RSI is below 50. Trend Strength Score is low. Closing current long position to limit losses.",0.82,MACD_crossover;RSI_below_50;Trend_Strength_Score_low,bearish_crossover;support_breach,trend_following;mean_reversion
2020-02-17T00:00:00+00:00,GOLD,entry,Active-Guardian: Market is in Green Zone. Bullish MACD crossover and RSI above 50. Trend Strength Score is moderate. Entry with tight protection.,0.8,MACD_crossover;RSI_above_50;Trend_Strength_Moderate,indicator_crossover;trend_following,trend_following;mean_reversion
2020-02-18T00:00:00+00:00,GOLD,entry,"Active-Guardian: Market is in Green Zone. Recent MACD crossover is bullish, and RSI is above 50. Trend Strength Score is moderate. Entry with tight protection.",0.82,MACD_crossover;RSI_above_50;Trend_Strength,indicator_crossover;trend_following,trend_following;mean_reversion
